"businessentityid","nationalidnumber","loginid","jobtitle","birthdate","maritalstatus","gender","hiredate","salariedflag","vacationhours","sickleavehours","currentflag","rowguid","modifieddate","organizationnode"
1,"295847284",adventure-works\ken0,Chief Executive Officer,1969-01-29,S,M,2009-01-14,true,99,69,true,f01251e5-96a3-448d-981e-0f99d789110d,2014-06-30 00:00:00.000,/
2,"245797967",adventure-works\terri0,Vice President of Engineering,1971-08-01,S,F,2008-01-31,true,1,20,true,"45e8f437-670d-4409-93cb-f9424a40d6ee",2014-06-30 00:00:00.000,/1/
3,"509647174",adventure-works\roberto0,Engineering Manager,1974-11-12,M,M,2007-11-11,true,2,21,true,"9bbbfb2c-efbb-4217-9ab7-f97689328841",2014-06-30 00:00:00.000,/1/1/
4,"112457891",adventure-works\rob0,Senior Tool Designer,1974-12-23,S,M,2007-12-05,false,48,80,true,"59747955-87b8-443f-8ed4-f8ad3afdf3a9",2014-06-30 00:00:00.000,/1/1/1/
5,"695256908",adventure-works\gail0,Design Engineer,1952-09-27,M,F,2008-01-06,true,5,22,true,ec84ae09-f9b8-4a15-b4a9-6ccbab919b08,2014-06-30 00:00:00.000,/1/1/2/
6,"998320692",adventure-works\jossef0,Design Engineer,1959-03-11,M,M,2008-01-24,true,6,23,true,e39056f1-9cd5-478d-8945-14aca7fbdcdd,2014-06-30 00:00:00.000,/1/1/3/
7,"134969118",adventure-works\dylan0,Research and Development Manager,1987-02-24,M,M,2009-02-08,true,61,50,true,"4f46deca-ef01-41fd-9829-0adab368e431",2014-06-30 00:00:00.000,/1/1/4/
8,"811994146",adventure-works\diane1,Research and Development Engineer,1986-06-05,S,F,2008-12-29,true,62,51,true,"31112635-663b-4018-b4a2-a685c0bf48a4",2014-06-30 00:00:00.000,/1/1/4/1/
9,"658797903",adventure-works\gigi0,Research and Development Engineer,1979-01-21,M,F,2009-01-16,true,63,51,true,"50b6cdc6-7570-47ef-9570-48a64b5f2ecf",2014-06-30 00:00:00.000,/1/1/4/2/
10,"879342154",adventure-works\michael6,Research and Development Manager,1984-11-30,M,M,2009-05-03,true,16,64,true,eaa43680-5571-40cb-ab1a-3bf68f04459e,2014-06-30 00:00:00.000,/1/1/4/3/
11,"974026903",adventure-works\ovidiu0,Senior Tool Designer,1978-01-17,S,M,2010-12-05,false,7,23,true,f68c7c19-fac1-438c-9bb7-ac33fcc341c3,2014-06-30 00:00:00.000,/1/1/5/
12,"480168528",adventure-works\thierry0,Tool Designer,1959-07-29,M,M,2007-12-11,false,9,24,true,"1d955171-e773-4fad-8382-40fd898d5d4d",2014-06-30 00:00:00.000,/1/1/5/1/
13,"486228782",adventure-works\janice0,Tool Designer,1989-05-28,M,F,2010-12-23,false,8,24,true,"954b91b6-5aa7-48c2-8685-6e11c6e5c49a",2014-06-30 00:00:00.000,/1/1/5/2/
14,"42487730",adventure-works\michael8,Senior Design Engineer,1979-06-16,S,M,2010-12-30,true,3,21,true,"46286ca4-46dd-4ddb-9128-85b67e98d1a9",2014-06-30 00:00:00.000,/1/1/6/
15,"56920285",adventure-works\sharon0,Design Engineer,1961-05-02,M,F,2011-01-18,true,4,22,true,"54f2fdc0-87c4-4065-a7a8-9ac8ea624235",2014-06-30 00:00:00.000,/1/1/7/
16,"24756624",adventure-works\david0,Marketing Manager,1975-03-19,S,M,2007-12-20,true,40,40,true,e87029aa-2cba-4c03-b948-d83af0313e28,2014-06-30 00:00:00.000,/2/
17,"253022876",adventure-works\kevin0,Marketing Assistant,1987-05-03,S,M,2007-01-26,false,42,41,true,"1b480240-95c0-410f-a717-eb29943c8886",2014-06-30 00:00:00.000,/2/1/
18,"222969461",adventure-works\john5,Marketing Specialist,1978-03-06,S,M,2011-02-07,false,48,44,true,"64730415-1f58-4e5b-8fa8-5e4daeba53b4",2014-06-30 00:00:00.000,/2/2/
