"businessentityid","ratechangedate","rate","payfrequency","modifieddate"
1,2009-01-14 00:00:00.000,125.5,2,2014-06-30 00:00:00.000
2,2008-01-31 00:00:00.000,63.4615,2,2014-06-30 00:00:00.000
3,2007-11-11 00:00:00.000,43.2692,2,2014-06-30 00:00:00.000
4,2007-12-05 00:00:00.000,8.62,2,2007-11-21 00:00:00.000
4,2010-05-31 00:00:00.000,23.72,2,2010-05-16 00:00:00.000
4,2011-12-15 00:00:00.000,29.8462,2,2011-12-01 00:00:00.000
5,2008-01-06 00:00:00.000,32.6923,2,2014-06-30 00:00:00.000
6,2008-01-24 00:00:00.000,32.6923,2,2014-06-30 00:00:00.000
7,2009-02-08 00:00:00.000,50.4808,2,2014-06-30 00:00:00.000
8,2008-12-29 00:00:00.000,40.8654,2,2014-06-30 00:00:00.000
9,2009-01-16 00:00:00.000,40.8654,2,2014-06-30 00:00:00.000
10,2009-05-03 00:00:00.000,42.4808,2,2014-06-30 00:00:00.000
11,2010-12-05 00:00:00.000,28.8462,2,2014-06-30 00:00:00.000
12,2007-12-11 00:00:00.000,25,2,2014-06-30 00:00:00.000
13,2010-12-23 00:00:00.000,25,2,2014-06-30 00:00:00.000
14,2010-12-30 00:00:00.000,36.0577,2,2014-06-30 00:00:00.000
15,2011-01-18 00:00:00.000,32.6923,2,2014-06-30 00:00:00.000
16,2007-12-20 00:00:00.000,24,2,2007-12-06 00:00:00.000
16,2009-07-15 00:00:00.000,28.75,2,2009-07-01 00:00:00.000
16,2012-04-30 00:00:00.000,37.5,2,2012-04-16 00:00:00.000
17,2007-01-26 00:00:00.000,13.4615,2,2014-06-30 00:00:00.000
18,2011-02-07 00:00:00.000,14.4231,2,2014-06-30 00:00:00.000
19,2011-02-14 00:00:00.000,13.4615,2,2014-06-30 00:00:00.000
20,2011-01-07 00:00:00.000,13.4615,2,2014-06-30 00:00:00.000
21,2009-03-02 00:00:00.000,14.4231,2,2014-06-30 00:00:00.000
22,2008-12-12 00:00:00.000,14.4231,2,2014-06-30 00:00:00.000
23,2009-01-12 00:00:00.000,14.4231,2,2014-06-30 00:00:00.000
24,2009-01-18 00:00:00.000,14.4231,2,2014-06-30 00:00:00.000
25,2009-02-03 00:00:00.000,84.1346,2,2014-06-30 00:00:00.000
26,2008-12-01 00:00:00.000,24.5192,2,2014-06-30 00:00:00.000
27,2008-02-27 00:00:00.000,25,2,2014-06-30 00:00:00.000
28,2006-06-30 00:00:00.000,12.45,1,2014-06-30 00:00:00.000
29,2009-01-23 00:00:00.000,12.45,1,2014-06-30 00:00:00.000
30,2009-01-29 00:00:00.000,12.45,1,2014-06-30 00:00:00.000
31,2009-01-04 00:00:00.000,12.45,1,2014-06-30 00:00:00.000
32,2008-12-29 00:00:00.000,12.45,1,2014-06-30 00:00:00.000
33,2008-12-17 00:00:00.000,12.45,1,2014-06-30 00:00:00.000
34,2009-02-16 00:00:00.000,12.45,1,2014-06-30 00:00:00.000
35,2009-02-08 00:00:00.000,12.45,1,2014-06-30 00:00:00.000
36,2009-02-10 00:00:00.000,12.45,1,2014-06-30 00:00:00.000
37,2009-03-07 00:00:00.000,12.45,1,2014-06-30 00:00:00.000
38,2010-01-16 00:00:00.000,12.45,1,2014-06-30 00:00:00.000
39,2010-02-05 00:00:00.000,12.45,1,2014-06-30 00:00:00.000
40,2007-12-26 00:00:00.000,25,2,2014-06-30 00:00:00.000
41,2009-01-21 00:00:00.000,12.45,1,2014-06-30 00:00:00.000
42,2008-12-27 00:00:00.000,12.45,1,2014-06-30 00:00:00.000
43,2009-01-02 00:00:00.000,12.45,1,2014-06-30 00:00:00.000
44,2008-12-08 00:00:00.000,12.45,1,2014-06-30 00:00:00.000
45,2009-02-26 00:00:00.000,12.45,1,2014-06-30 00:00:00.000
46,2009-02-08 00:00:00.000,12.45,1,2014-06-30 00:00:00.000
47,2009-02-22 00:00:00.000,25,2,2014-06-30 00:00:00.000
48,2008-01-06 00:00:00.000,13.45,1,2014-06-30 00:00:00.000
49,2008-01-07 00:00:00.000,13.45,1,2014-06-30 00:00:00.000
50,2008-02-02 00:00:00.000,13.45,1,2014-06-30 00:00:00.000
51,2008-02-20 00:00:00.000,13.45,1,2014-06-30 00:00:00.000
52,2008-03-10 00:00:00.000,13.45,1,2014-06-30 00:00:00.000
53,2008-03-28 00:00:00.000,13.45,1,2014-06-30 00:00:00.000
