"addressid","addressline1","addressline2","city","stateprovinceid","postalcode","spatiallocation","rowguid","modifieddate"
1,"1970 Napa Ct.",,Bothell,79,"98011",E6100000010CAE8BFC28BCE4474067A89189898A5EC0,"9aadcb0d-36cf-483f-84d8-585c2d4ec6e9",2007-12-04 00:00:00.000
2,"9833 Mt. Dias Blv.",,Bothell,79,"98011",E6100000010CD6FA851AE6D74740BC262A0A03905EC0,"32a54b9e-e034-4bfb-b573-a71cde60d8c0",2008-11-30 00:00:00.000
3,"7484 Roundtree Drive",,Bothell,79,"98011",E6100000010C18E304C4ADE14740DA930C7893915EC0,"4c506923-6d1b-452c-a07c-baa6f5b142a4",2013-03-07 00:00:00.000
4,"9539 Glenside Dr",,Bothell,79,"98011",E6100000010C813A0D5F9FDE474011A5C28A7C955EC0,e5946c78-4bcc-477f-9fa1-cc09de16a880,2009-02-03 00:00:00.000
5,"1226 Shoe St.",,Bothell,79,"98011",E6100000010C61C64D8ABBD94740C460EA3FD8855EC0,fbaff937-4a97-4af0-81fd-b849900e9bb0,2008-12-19 00:00:00.000
6,"1399 Firestone Drive",,Bothell,79,"98011",E6100000010CE0B4E50458DA47402F12A5F80C975EC0,febf8191-9804-44c8-877a-33fde94f0075,2009-02-13 00:00:00.000
7,"5672 Hale Dr.",,Bothell,79,"98011",E6100000010C18E304C4ADE1474011A5C28A7C955EC0,"0175a174-6c34-4d41-b3c1-4419cd6a0446",2009-12-11 00:00:00.000
8,"6387 Scenic Avenue",,Bothell,79,"98011",E6100000010C0029A5D93BDF4740E248962FD5975EC0,"3715e813-4dca-49e0-8f1c-31857d21f269",2008-12-17 00:00:00.000
9,"8713 Yosemite Ct.",,Bothell,79,"98011",E6100000010C6A80AD742DDC4740851574F7198C5EC0,"268af621-76d7-4c78-9441-144fd139821a",2012-05-30 00:00:00.000
10,"250 Race Court",,Bothell,79,"98011",E6100000010C219D64AE1FE4474040862564B7825EC0,"0b6b739d-8eb6-4378-8d55-fe196af34c04",2008-12-02 00:00:00.000
11,"1318 Lasalle Street",,Bothell,79,"98011",E6100000010CCEFFBBFD9FE9474057B9479C728E5EC0,"981b3303-aca2-49c7-9a96-fb670785b269",2013-02-28 00:00:00.000
12,"5415 San Gabriel Dr.",,Bothell,79,"98011",E6100000010C6A80AD742DDC474011A5C28A7C955EC0,"1c2c9cfe-ab9f-4f96-8e1f-d9666b6f7f22",2013-01-05 00:00:00.000
13,"9265 La Paz",,Bothell,79,"98011",E6100000010CC3228C0867E84740F3BC169B7F835EC0,e0ba2f52-c907-4553-a0db-67fc67d28ae4,2013-12-14 00:00:00.000
14,"8157 W. Book",,Bothell,79,"98011",E6100000010C219D64AE1FE4474067A89189898A5EC0,a1c658ae-c553-4a9d-a081-a550d39b64df,2009-12-04 00:00:00.000
15,"4912 La Vuelta",,Bothell,79,"98011",E6100000010C219D64AE1FE447405E6ED153B4945EC0,f397e64a-a9d8-4e57-9e7c-b10928acadd6,2013-11-18 00:00:00.000
16,"40 Ellis St.",,Bothell,79,"98011",E6100000010CF76E45EFC9DC474067A89189898A5EC0,"0312b65f-cb60-4396-9ec7-a78b2eac1a1b",2012-11-09 00:00:00.000
17,"6696 Anchor Drive",,Bothell,79,"98011",E6100000010C034C75E402DE4740BC262A0A03905EC0,ce9b3b47-9267-4727-bcd2-687c47482c06,2013-11-08 00:00:00.000
18,"1873 Lion Circle",,Bothell,79,"98011",E6100000010C219D64AE1FE447405FF307D247845EC0,"963854f7-e3cb-46a1-a3db-1b05f71d6473",2013-11-30 00:00:00.000
19,"3148 Rose Street",,Bothell,79,"98011",E6100000010C813A0D5F9FDE47407DDBB3C144965EC0,"6b7acb0f-cdbf-44fd-ba14-eb08a56c1582",2014-04-03 00:00:00.000
20,"6872 Thornwood Dr.",,Bothell,79,"98011",E6100000010C034C75E402DE4740483BAF1BF9885EC0,"4b1f1ed4-97a4-43fd-bb1e-9e05817718e8",2009-02-05 00:00:00.000
21,"5747 Shirley Drive",,Bothell,79,"98011",E6100000010CEB9115FA90DB47408E4F342DEF815EC0,d83299d7-a0f4-4055-9bd5-5908e245d757,2009-02-11 00:00:00.000
22,"636 Vine Hill Way",,Portland,58,"97205",E6100000010CB55B852318C34640DD7A52C8D3A75EC0,"7f641525-2704-4f73-9d8a-eb062cfbfa3c",2011-05-24 00:00:00.000
23,"6657 Sand Pointe Lane",,Seattle,79,"98104",E6100000010C9F07FD5862DD47409F583A2EE9975EC0,b991568f-5096-4a92-b25c-1a3e4d2acc66,2009-01-15 00:00:00.000
24,"80 Sunview Terrace",,Duluth,36,"55802",E6100000010C04554A7DD566474059F1E1D0B30457C0,be07d3c8-6e58-4670-9da9-151ab6d3d620,2011-05-24 00:00:00.000
25,"9178 Jumping St.",,Dallas,73,"75201",E6100000010C10A810D1886240403A0F0653663158C0,c8df3bd9-48f0-4654-a8dd-14a67a84d3c6,2012-07-31 00:00:00.000
26,"5725 Glaze Drive",,San Francisco,9,"94109",E6100000010CFE3883FD5AE14240E38A86B1249A5EC0,"77415959-a4ee-4da6-86f9-70c097560005",2011-05-24 00:00:00.000
27,"2487 Riverside Drive",,Nevada,74,"84407",E6100000010C50ECC7344CA044400C0B98AB57FA5BC0,c1d0f3b0-6b2a-4388-8861-48f44d8270a1,2011-05-24 00:00:00.000
28,"9228 Via Del Sol",,Phoenix,6,"85004",E6100000010CCEEAD68894D440404D9D2EDC020E5CC0,"12ae5ee1-fc3e-468b-9b92-3b970b169774",2011-08-01 00:00:00.000
29,"8291 Crossbow Way",,Memphis,72,"38103",E6100000010C7AED632C1D9641401C8388AE3C8A56C0,"7cc794ad-1822-412b-ab94-337a89a1d0c9",2011-05-24 00:00:00.000
30,"9707 Coldwater Drive",,Orlando,15,"32804",E6100000010C90C10F63019F3C4089A0F6721C5254C0,"7431591f-36c1-4a65-b722-0e006db73557",2011-07-01 00:00:00.000
31,"9100 Sheppard Avenue North",,Ottawa,57,K4B 1T7,E6100000010CFE790DE102A84640715F3BDE74D652C0,"644dea26-e6fd-4019-85e6-35364ddab0cc",2011-05-24 00:00:00.000
32,"26910 Indela Road",,Montreal,63,H1Y 2H5,E6100000010C30D3FD464FCA4640CD2A07B90E6152C0,"84a95f62-3ae8-4e7e-bbd5-5a6f00cd982d",2012-06-30 00:00:00.000
33,"10203 Acorn Avenue",,Calgary,1,T2P 2G8,E6100000010CB2F2FC2E338E4940BA61B7D381795CC0,"237986d3-0f02-4d59-9b2e-6b1a6b5a6185",2011-05-24 00:00:00.000
34,"94, rue Descartes",,Bordeaux,119,"33000",E6100000010C1F9AACD1B8624640606323101251E3BF,"57f25eed-0f07-43ba-83b4-5a4b398f4bf2",2013-12-21 10:09:29.423
35,Pascalstr 951,,Berlin,20,"14111",E6100000010C078D021125484A408AD730111F9C2A40,"2985cf68-8155-45a3-b086-7b08bd4d46ef",2013-05-23 00:00:00.000
36,"34 Waterloo Road",,Melbourne,77,"3000",E6100000010C17C9C9D093E642C035B63CBED31E6240,"18e590a6-a500-48b5-b092-9e0b59816436",2013-05-23 00:00:00.000
37,Downshire Way,,Cambridge,14,BA5 3HX,E6100000010CFD6ECF37749849406E2CA98C0AF704C0,"7f80f9ce-50f1-404b-8c18-7c95ee35a6ee",2012-05-23 00:00:00.000
38,"8154 Via Mexico",,Detroit,35,"48226",E6100000010C3D5A41438330454086E592457FC954C0,bd54f2ad-157a-4491-9f05-cc1d5a492cf1,2011-05-24 00:00:00.000
